,D,m3C,Um,s2C,s2U,ho5U,m5D,I,f5C,m4Cm,f5U,m5Um,hm5C,m5s2U,mo5U,Qbase,m1A,m1I,ac4C,m42Cm,f5Um,mnm5U,f5s2U,nm5s2U,m6Am,m1Im,m1G,ac4Cm,ncm5U,cm5U,mnm5s2U,preQ0,m1Gm,ncm5Um,mcm5U,cmo5U,imG-14,G+,m22Gm,mcm5s2U,mcmo5U,i6A,nm5se2U,acp3U,cmnm5s2U,mnm5se2U,io6A,acp3Um,g6A,k2C,ms2i6A,ms2io6A,Q,t6A,m6t6A,yW-58,ms2t6A,ms2hn6A,Ar(p),Gr(p),yW,galQ
,325.04369,336.05968,337.04369,338.02118,339.0052,339.02296,339.05934,347.03928,350.03894,350.07533,351.02296,351.05934,352.05459,353.02085,353.03861,356.076,360.07091,361.05493,364.05459,364.0909,365.03861,366.07024,367.00011,368.03175,374.08656,375.07058,376.06583,378.07024,380.04951,381.03352,382.0474,386.05018,390.08148,394.06516,395.04917,397.02844,400.06583,403.07767,404.09713,411.02633,411.04409,414.11786,415.9762,424.07572,426.03723,429.99185,430.11361,438.09137,447.06655,450.13899,460.10558,476.1005,488.11825,491.09277,505.10842,529.1448,537.08038,551.0961,558.06385,574.05877,587.15028,650.17011
S. cerevesiae (R1),1.2071,0.952,0.7223,,,0.0057,,0.1025,,,,,,,,,0.4228,,0.4983,,,,,,0.0081,0.0045,0.9102,,0.0065,,,,0.2208,0.0053,,,,,,,,0.0017,,,,,,,,,,,,0.0792,,,,,,,,
S. cerevesiae (R2),1.397,1.037,0.7775,,,,,0.1299,,,,,,,,,0.4473,,0.5148,,,,,,0.0107,,1.0172,,0.0242,,,,0.246,0.0138,0.011,,,,,,,0.0124,,,,,,,,,,,,0.0944,,,,,0.0015,,,
S. cerevesiae (R3),1.7977,1.1447,0.8697,,,,,0.1531,,,,,,,,,0.4734,,0.501,,,,,,0.0052,,1.1706,,0.018,,,,0.3045,,0.009,,,,,0.0084,,0.0135,,,,,,,,,,,,0.1052,,,,,,,,
S. cerevesiae (R4),1.4899,1.0459,0.8339,,,,,0.1324,,,,,,,,,0.4603,,0.5136,,,,,,0.0158,,1.0343,0.005,0.03,,,,0.2629,0.0065,0.0075,,,,,,,0.019,,,,,,,,,,,,0.0956,,,,,,,,
S. cerevesiae (R5),1.9043,0.1301,0.9792,0.0438,,,,0.0187,,,,,,,,,0.2043,,0.5453,,,,,,0.0016,,0.7157,,,,0.0672,,0.002,,,0.204,,,,,,0.0086,0.0092,0.1776,,,,,,0.018,0.0475,0.0055,0.093,0.0592,,,,,,,,
S. cerevesiae (R6),1.6967,1.0843,0.8887,,,,,0.1561,,,,,,,0.0379,,0.4903,,0.5503,,,,,,0.0314,,1.2499,0.0076,0.0387,,,,0.3276,0.0149,0.0252,,,,,0.0229,,0.0353,,,,,,,,,,,,0.1379,,,,,0.0137,0.0027,0.0015,
S. cerevesiae (R7),1.5638,1.0697,0.8492,,,,,0.1483,,,,,,,0.0374,,0.4799,,0.5326,,,,,,0.0249,,1.1488,0.0057,0.0397,,,,0.3052,0.0156,0.0203,,,,0.0063,0.0099,,0.0336,,,,,,,,,,,,0.1329,0.0054,,,,0.0106,0.004,,
S. cerevesiae (R8),1.5685,1.0984,0.8597,,,,,0.145,,,,,,,,,0.4858,,0.5412,,0.0004,,,,0.0355,,1.1713,0.0094,0.0343,,,,0.3123,0.0124,0.027,,,,,0.0186,,0.0372,,,,,,0.0009,,,,,,0.1175,,,,,0.0111,0.0017,,
S. cerevesiae (R9),1.7251,0.1589,0.9495,0.0562,0.0358,,,0.039,,0.0006,,,0.0011,,,,0.2205,,0.543,,,,,,0.0108,,0.7551,0.0056,,,0.0868,,0.0113,,,0.1937,,,,,,0.0204,,0.1672,,,,,,0.011,0.0377,0.0113,0.0938,0.0872,0.0174,,,,,,,
S. cerevesiae (R10),1.7678,1.1694,0.8723,,,,,0.1684,,,,,,,,,0.4919,,0.5152,,,,,,0.0103,,1.2136,0.0047,0.0429,,,,0.3078,0.0194,0.0175,,,,,,,0.0292,,,,,,,,,,,,0.1172,,,,,0.0062,,,
S. cerevesiae (R11),1.3434,1.0035,0.7653,,,,,0.1192,,,,,,,,0.0008,0.4473,,0.5164,,,,,,0.0246,,0.9996,0.0065,0.0293,,,,0.2497,0.0085,0.0105,,,,,,,0.0154,,,,,,,,,,,,0.0897,,,,,0.0023,,,
S. cerevesiae (R12),1.4917,1.0406,0.843,,,,,0.1328,,,,,,,,,0.4522,0.0248,0.5139,,,,,,0.0239,,1.0316,0.005,0.0309,,,,0.2613,0.0074,0.0123,,,,,,,0.0235,,,,,,,,,,,,0.1002,,,,,0.0024,,,
S. cerevesiae (R13),1.4836,1.013,0.8121,,,,0.0029,0.1303,,,,,,0.0345,,,0.4765,,0.5056,,,,,,0.0251,,1.0842,0.0033,,,,,0.2865,0.0033,0.0114,,,,0.0013,0.0074,,0.0237,,,,,,,,,,,,0.1084,0.0022,,,,0.0064,,,
S. cerevesiae (R14),1.6269,1.0942,0.8811,,,,,0.14,,,,,,,,,0.4755,,0.5186,,,,,,0.0276,,1.1503,0.0037,,,,,0.2915,0.0146,0.0269,,,,,0.0017,,0.0287,,,,,,,0.0094,,,,,0.1241,0.0134,,,,0.0116,0.002,,
S. cerevesiae (R15),1.3487,0.9864,0.7438,,,,,0.1267,,,,,,,,,0.4275,,0.4839,,,,,,0.0097,,0.9809,,0.0164,,,,0.2302,0.0037,,,,,,,,0.0046,,,,,,,,,,,,0.0802,,,,,,,,
S. cerevesiae (R16),1.8432,1.1923,0.9205,,,,,0.1721,,,,,,,,,0.491,0.0434,0.5257,,,,0.0009,,0.0204,,1.2586,,0.0519,,,,0.3193,0.015,0.0248,,,,,,,0.0285,,,,,,,,,,,,0.1303,,,,,0.018,,,
S. cerevesiae (R17),1.4705,0.9881,0.8402,,,,,0.128,,,,,,,,,0.4693,,0.5217,,,,,,0.0356,,1.0719,0.0057,,,,,0.2783,0.016,0.0197,,,,,0.012,,0.0356,,,,,,,,,,,,0.1056,0.0048,,,,0.0063,,,
S. cerevesiae (R18),1.295,0.9739,0.7771,,,,,0.1181,,,,,,,,,0.4473,,0.5137,,,,,,0.0295,,0.9824,,0.0338,,,,0.2406,0.0117,0.0094,,,,,,,0.0111,,,,,,,,,,,,0.097,,,,,0.0048,,,
S. cerevesiae (R19),1.5452,1.0443,0.8149,,,,,0.1464,,,,,,,,,0.4716,0.0318,0.5205,,,,,,0.0139,,1.1172,0.009,0.0425,,,,0.2614,0.012,0.024,,,,,,,0.0253,,,,,,,,,,,,0.1091,,,,,0.0075,,,
S. cerevesiae (R20),1.144,0.8902,0.7138,,,,,0.1038,,,,,,,,,0.4405,0.072,0.5154,,,,,,0.0431,,0.9276,0.0054,,,,,0.2376,0.0059,0.009,,,,,0.0094,,0.0199,,0.0009,,,,,,,,,,0.082,,,,,0.0058,,,
S. cerevesiae (R21),1.6613,0.1255,0.8364,0.0361,,,,0.0209,,,,,,,,,0.1871,0.0473,0.545,,,,,,0.0018,,0.658,,,,0.0595,,0.0021,,,0.18,,,0.0046,,,0.0043,,0.1536,,,,,,0.0042,0.0325,0.0021,0.0917,0.0492,,,,,,,,
S. cerevesiae (R22),1.858,0.1487,0.8462,0.044,,,,0.0312,,,,,0.001,,,,0.1841,0.0316,0.5311,,,,,,0.0025,,0.6673,,,,0.0686,,0.0055,,,0.1895,,,,,,0.0056,0.0089,0.1842,,,,,,0.0305,0.0305,0.0024,0.0926,0.0587,,,,,,,,
S. cerevesiae (R23),1.3883,0.9167,0.8277,,,0.0337,,0.1115,,,,,0.001,,,,0.4669,0.0789,0.5173,,,,,,0.0403,,1.0371,0.0041,0.0041,,,0.0011,0.2538,0.005,0.0117,0.0087,,,,0.0112,,0.0315,,,,,,,0.0031,,,,,0.1054,0.0103,,,,0.0064,,,
